OA,Pop,mean_age_OA,Mean,sd_age_OA,SD
E00025604,337,33.25816023738872,33.25816023738872,21.823598797227355,21.823598797227355
E00025605,244,36.127049180327866,36.127049180327866,18.855205421945005,18.855205421945005
E00025607,306,33.1797385620915,33.1797385620915,22.925475440952614,22.925475440952614
E00025608,416,29.5625,29.5625,18.931988292910273,18.931988292910273
E00025611,494,31.12348178137652,31.12348178137652,18.80396723555465,18.80396723555465
E00025612,389,28.889460154241647,28.889460154241647,19.466614745668227,19.466614745668227
E00025613,224,35.441964285714285,35.441964285714285,16.5485080594667,16.5485080594667
E00025614,282,24.574468085106382,24.574468085106382,16.738190841133616,16.738190841133616
E00025615,367,33.69754768392371,33.69754768392371,21.152802640394604,21.152802640394604
E00025616,174,41.88505747126437,41.88505747126437,20.57436829945292,20.57436829945292
E00025617,484,28.041322314049587,28.041322314049587,18.327771048946655,18.327771048946655
E00025618,334,32.793413173652695,32.793413173652695,22.287012977840277,22.287012977840277
E00025619,300,32.47666666666667,32.47666666666667,22.162129610029083,22.162129610029083
E00025620,379,30.70976253298153,30.70976253298153,22.022359601782746,22.022359601782746
E00025621,319,32.758620689655174,32.758620689655174,22.67922426331774,22.67922426331774
E00025622,252,33.22222222222222,33.22222222222222,20.953140239083677,20.953140239083677
E00025623,378,30.49206349206349,30.49206349206349,17.836903017580063,17.836903017580063
E00025624,335,38.84776119402985,38.84776119402985,23.637179927243032,23.637179927243032
E00025625,370,29.12162162162162,29.12162162162162,20.957792596882634,20.957792596882634
E00025626,272,35.720588235294116,35.720588235294116,21.515356628938655,21.515356628938655
E00025627,329,34.71732522796353,34.71732522796353,21.67067193448498,21.67067193448498
E00025628,316,34.11392405063291,34.11392405063291,20.645757374550747,20.645757374550747
E00025629,309,32.944983818770226,32.944983818770226,22.86976572183929,22.86976572183929
E00025630,402,28.80597014925373,28.80597014925373,20.026096793861548,20.026096793861548
E00025631,348,28.373563218390803,28.373563218390803,18.53351483883439,18.53351483883439
E00025632,213,28.112676056338028,28.112676056338028,20.055500324764797,20.055500324764797
E00025633,529,25.41209829867675,25.41209829867675,12.692768354676256,12.692768354676256
E00025634,293,35.593856655290104,35.593856655290104,23.19945300355836,23.19945300355836
E00025635,248,33.04032258064516,33.04032258064516,21.779312396825482,21.779312396825482
E00025636,588,33.86734693877551,33.86734693877551,24.34300787643698,24.34300787643698
E00025638,272,38.18014705882353,38.18014705882353,23.288989273485186,23.288989273485186
E00025639,204,36.73529411764706,36.73529411764706,22.10228192779044,22.10228192779044
E00025640,309,46.83171521035599,46.83171521035599,24.356873825841888,24.356873825841888
E00025641,340,39.35294117647059,39.35294117647059,21.25652057228999,21.25652057228999
E00025642,290,37.06206896551724,37.06206896551724,24.130619377718435,24.130619377718435
E00025643,481,32.44906444906445,32.44906444906445,21.949421123678572,21.949421123678572
E00025644,301,36.59468438538206,36.59468438538206,21.827089552130442,21.827089552130442
E00025645,224,34.191964285714285,34.191964285714285,19.584100068588203,19.584100068588203
E00025646,322,40.15217391304348,40.15217391304348,23.198690979711603,23.198690979711603
E00025647,369,31.387533875338754,31.387533875338754,20.94646272512809,20.94646272512809
E00025648,433,34.10161662817552,34.10161662817552,22.22098237175055,22.22098237175055
E00025649,251,46.00398406374502,46.00398406374502,24.77635937872522,24.77635937872522
E00025650,278,36.74820143884892,36.74820143884892,23.33451404015009,23.33451404015009
E00025651,324,35.99382716049383,35.99382716049383,21.921756984109265,21.921756984109265
E00025652,329,35.379939209726444,35.379939209726444,23.380958716102697,23.380958716102697
E00025653,303,43.23102310231023,43.23102310231023,26.51713355792069,26.51713355792069
E00025654,279,33.132616487455195,33.132616487455195,21.580374543355944,21.580374543355944
E00025655,343,35.501457725947525,35.501457725947525,23.189642101438267,23.189642101438267
E00025656,228,32.69298245614035,32.69298245614035,17.603127071509938,17.603127071509938
E00025657,199,47.93969849246231,47.93969849246231,21.701984778885485,21.701984778885485
E00025658,338,40.43195266272189,40.43195266272189,21.780734614105562,21.780734614105562
E00025659,390,36.93589743589744,36.93589743589744,21.915788666948263,21.915788666948263
E00025660,281,43.88256227758007,43.88256227758007,24.968775111209276,24.968775111209276
E00025661,297,35.36363636363637,35.36363636363637,21.882265378235815,21.882265378235815
E00025662,308,32.11038961038961,32.11038961038961,22.134637377528456,22.134637377528456
E00025663,395,33.15696202531645,33.15696202531645,19.2068798716009,19.2068798716009
E00025664,342,36.421052631578945,36.421052631578945,20.118371728352024,20.118371728352024
E00025665,424,35.39622641509434,35.39622641509434,23.58192971099359,23.58192971099359
E00025666,360,39.82222222222222,39.82222222222222,25.495350071548607,25.495350071548607
E00025667,289,32.29065743944636,32.29065743944636,19.527009853082564,19.527009853082564
E00025668,307,36.82410423452769,36.82410423452769,24.827410902464614,24.827410902464614
E00025669,268,38.01865671641791,38.01865671641791,24.927828914059216,24.927828914059216
E00025670,311,34.40192926045016,34.40192926045016,21.799730602245152,21.799730602245152
E00025671,256,40.859375,40.859375,22.266737480807908,22.266737480807908
E00025672,305,35.73770491803279,35.73770491803279,23.233866529826642,23.233866529826642
E00025673,329,35.13677811550152,35.13677811550152,22.59403419160083,22.59403419160083
E00025674,291,33.845360824742265,33.845360824742265,20.67349137531488,20.67349137531488
E00025675,262,39.6412213740458,39.6412213740458,22.8579047930765,22.8579047930765
E00025676,318,37.113207547169814,37.113207547169814,22.688670898832456,22.688670898832456
E00025677,256,38.01171875,38.01171875,22.991640837636247,22.991640837636247
E00025678,383,36.62924281984334,36.62924281984334,22.68872869145826,22.68872869145826
E00025680,298,31.43959731543624,31.43959731543624,14.092935015308791,14.092935015308791
E00025681,237,36.27426160337553,36.27426160337553,22.08469569363423,22.08469569363423
E00025682,320,29.946875,29.946875,19.999223877965953,19.999223877965953
E00025684,308,42.64935064935065,42.64935064935065,21.44640542762109,21.44640542762109
E00025685,283,31.72791519434629,31.72791519434629,13.541118031871159,13.541118031871159
E00025687,313,32.83067092651757,32.83067092651757,21.251698692218113,21.251698692218113
E00025688,272,36.125,36.125,21.015523167938035,21.015523167938035
E00025689,299,38.84280936454849,38.84280936454849,22.549246035709764,22.549246035709764
E00025690,272,35.875,35.875,22.354057227687893,22.354057227687893
E00025691,344,29.1046511627907,29.1046511627907,14.014177802132894,14.014177802132894
E00025692,323,39.95665634674923,39.95665634674923,23.4025927048052,23.4025927048052
E00025693,314,30.65286624203822,30.65286624203822,15.555030870063657,15.555030870063657
E00025694,332,35.86746987951807,35.86746987951807,21.887667669170888,21.887667669170888
E00025695,224,30.165178571428573,30.165178571428573,12.937741292194472,12.937741292194472
E00025696,348,40.05172413793103,40.05172413793103,23.867976747551587,23.867976747551587
E00025697,378,34.57936507936508,34.57936507936508,19.58143703916758,19.58143703916758
E00025698,304,36.04934210526316,36.04934210526316,22.076543999124585,22.076543999124585
E00025699,350,31.248571428571427,31.248571428571427,12.211058716319133,12.211058716319133
E00025700,251,30.737051792828684,30.737051792828684,14.792247350328708,14.792247350328708
E00025701,335,30.208955223880597,30.208955223880597,13.429275056602771,13.429275056602771
E00025702,319,31.9153605015674,31.9153605015674,21.80132668151258,21.80132668151258
E00025703,321,43.124610591900314,43.124610591900314,25.640849706591474,25.640849706591474
E00025704,285,30.989473684210527,30.989473684210527,13.156020474368997,13.156020474368997
E00025705,292,32.49315068493151,32.49315068493151,16.141448035360604,16.141448035360604
E00025706,229,30.829694323144103,30.829694323144103,10.583908275293963,10.583908275293963
E00025707,173,32.028901734104046,32.028901734104046,9.751820191257282,9.751820191257282
E00025708,295,29.372881355932204,29.372881355932204,13.559265608668477,13.559265608668477
E00025709,321,32.47040498442367,32.47040498442367,16.572187624087977,16.572187624087977
E00025710,336,29.086309523809526,29.086309523809526,20.93033911797564,20.93033911797564
E00025711,262,40.55343511450382,40.55343511450382,25.656943367128694,25.656943367128694
E00025712,301,34.754152823920265,34.754152823920265,21.8660930292367,21.8660930292367
E00025713,258,34.56201550387597,34.56201550387597,21.36249192607426,21.36249192607426
E00025714,305,32.52459016393443,32.52459016393443,21.03803460197075,21.03803460197075
E00025715,189,35.15873015873016,35.15873015873016,13.560196386428204,13.560196386428204
E00025716,298,43.80201342281879,43.80201342281879,27.489901346988475,27.489901346988475
E00025717,303,37.32673267326733,37.32673267326733,22.593342325448937,22.593342325448937
E00025718,340,31.83529411764706,31.83529411764706,20.489206919942625,20.489206919942625
E00025719,403,35.25558312655087,35.25558312655087,16.446557121149006,16.446557121149006
E00025720,334,44.25449101796407,44.25449101796407,23.49834626239654,23.49834626239654
E00025721,349,31.544412607449857,31.544412607449857,20.79501498650664,20.79501498650664
E00025722,258,35.48449612403101,35.48449612403101,21.491328265166683,21.491328265166683
E00025723,259,35.91119691119691,35.91119691119691,20.57609788992569,20.57609788992569
E00025724,347,31.70893371757925,31.70893371757925,20.467202179211675,20.467202179211675
E00025725,567,28.818342151675484,28.818342151675484,19.166108985457708,19.166108985457708
E00025726,370,29.767567567567568,29.767567567567568,21.690731526982642,21.690731526982642
E00025727,193,50.476683937823836,50.476683937823836,23.912181462170977,23.912181462170977
E00025728,394,29.434010152284262,29.434010152284262,21.408708143805992,21.408708143805992
E00025729,306,37.833333333333336,37.833333333333336,23.407614005759367,23.407614005759367
E00025730,329,32.53191489361702,32.53191489361702,22.689306260397228,22.689306260397228
E00025731,328,31.609756097560975,31.609756097560975,22.232167288090736,22.232167288090736
E00025732,380,29.771052631578947,29.771052631578947,21.358671011677792,21.358671011677792
E00025733,463,29.742980561555076,29.742980561555076,18.820317765489317,18.820317765489317
E00025734,396,30.608585858585858,30.608585858585858,21.722317218402686,21.722317218402686
E00025735,392,33.78061224489796,33.78061224489796,21.044170612303706,21.044170612303706
E00025736,501,29.273453093812375,29.273453093812375,19.57128186533256,19.57128186533256
E00025737,367,33.28065395095368,33.28065395095368,21.845714128878644,21.845714128878644
E00025738,352,32.69034090909091,32.69034090909091,22.46626132424236,22.46626132424236
E00025739,377,32.02387267904509,32.02387267904509,19.96851145819554,19.96851145819554
E00025740,395,29.481012658227847,29.481012658227847,21.1720416877005,21.1720416877005
E00025741,394,30.85786802030457,30.85786802030457,22.246710630236745,22.246710630236745
E00025742,361,28.914127423822716,28.914127423822716,21.76824509017527,21.76824509017527
E00025743,319,30.940438871473354,30.940438871473354,21.64288983268942,21.64288983268942
E00025744,341,31.788856304985337,31.788856304985337,22.649165525074686,22.649165525074686
E00025745,470,30.038297872340426,30.038297872340426,20.392382803740233,20.392382803740233
E00025746,233,40.107296137339056,40.107296137339056,23.429674449569006,23.429674449569006
E00025747,325,33.53230769230769,33.53230769230769,21.47672518323944,21.47672518323944
E00025748,425,33.96235294117647,33.96235294117647,24.181965331229843,24.181965331229843
E00025749,321,32.60747663551402,32.60747663551402,22.407207410233728,22.407207410233728
E00025750,364,44.532967032967036,44.532967032967036,30.0138904663246,30.0138904663246
E00025751,304,30.38157894736842,30.38157894736842,21.46066605671192,21.46066605671192
E00025752,254,30.91732283464567,30.91732283464567,21.722218983049125,21.722218983049125
E00025753,335,33.10149253731343,33.10149253731343,21.938164955118676,21.938164955118676
E00025754,330,32.39393939393939,32.39393939393939,22.086648092177406,22.086648092177406
E00025756,234,40.22649572649573,40.22649572649573,25.369965999027812,25.369965999027812
E00025757,245,37.885714285714286,37.885714285714286,25.04036086263829,25.04036086263829
E00025758,341,36.510263929618766,36.510263929618766,22.204478488136942,22.204478488136942
E00025759,322,34.608695652173914,34.608695652173914,22.03556284892848,22.03556284892848
E00025760,352,33.20170454545455,33.20170454545455,22.117703714424497,22.117703714424497
E00025761,358,29.614525139664803,29.614525139664803,21.88144811530113,21.88144811530113
