OA,Pop,UK,Mean_bornUK
E00025604,337,212,0.629080118694362
E00025605,244,158,0.6475409836065574
E00025607,306,218,0.7124183006535948
E00025608,416,252,0.6057692307692307
E00025611,494,319,0.64574898785425106
E00025612,389,169,0.43444730077120824
E00025613,224,118,0.5267857142857143
E00025614,282,151,0.5354609929078015
E00025615,367,197,0.5367847411444142
E00025616,174,105,0.603448275862069
E00025617,484,255,0.5268595041322314
E00025618,334,190,0.5688622754491018
E00025619,300,191,0.6366666666666667
E00025620,379,265,0.6992084432717678
E00025621,319,237,0.7429467084639498
E00025622,252,154,0.6111111111111112
E00025623,378,186,0.49206349206349204
E00025624,335,285,0.8507462686567164
E00025625,370,256,0.6918918918918919
E00025626,272,144,0.5294117647058824
E00025627,329,255,0.7750759878419453
E00025628,316,173,0.5474683544303798
E00025629,309,151,0.4886731391585761
E00025630,402,235,0.5845771144278606
E00025631,348,177,0.5086206896551724
E00025632,213,127,0.596244131455399
E00025633,529,309,0.5841209829867675
E00025634,293,187,0.6382252559726962
E00025635,248,151,0.6088709677419355
E00025636,588,339,0.576530612244898
E00025638,272,241,0.8860294117647058
E00025639,204,186,0.9117647058823529
E00025640,309,292,0.9449838187702265
E00025641,340,317,0.9323529411764706
E00025642,290,268,0.9241379310344827
E00025643,481,370,0.7692307692307693
E00025644,301,273,0.9069767441860465
E00025645,224,198,0.8839285714285714
E00025646,322,312,0.968944099378882
E00025647,369,326,0.8834688346883469
E00025648,433,353,0.815242494226328
E00025649,251,232,0.9243027888446215
E00025650,278,256,0.920863309352518
E00025651,324,297,0.9166666666666666
E00025652,329,291,0.8844984802431611
E00025653,303,277,0.9141914191419142
E00025654,279,246,0.8817204301075269
E00025655,343,320,0.9329446064139941
E00025656,228,192,0.8421052631578947
E00025657,199,180,0.9045226130653267
E00025658,338,307,0.908284023668639
E00025659,390,323,0.8282051282051283
E00025660,281,235,0.8362989323843416
E00025661,297,271,0.9124579124579124
E00025662,308,274,0.8896103896103896
E00025663,395,338,0.8556962025316456
E00025664,342,319,0.9327485380116959
E00025665,424,374,0.8820754716981132
E00025666,360,329,0.9138888888888889
E00025667,289,234,0.8096885813148789
E00025668,307,283,0.9218241042345277
E00025669,268,249,0.9291044776119403
E00025670,311,281,0.9035369774919614
E00025671,256,230,0.8984375
E00025672,305,275,0.9016393442622951
E00025673,329,270,0.8206686930091185
E00025674,291,268,0.9209621993127147
E00025675,262,240,0.916030534351145
E00025676,318,276,0.8679245283018868
E00025677,256,233,0.91015625
E00025678,383,317,0.8276762402088773
E00025680,298,264,0.8859060402684564
E00025681,237,194,0.8185654008438819
E00025682,320,236,0.7375
E00025684,308,259,0.8409090909090909
E00025685,283,249,0.8798586572438163
E00025687,313,268,0.8562300319488818
E00025688,272,227,0.8345588235294118
E00025689,299,247,0.8260869565217391
E00025690,272,245,0.9007352941176471
E00025691,344,303,0.8808139534883721
E00025692,323,275,0.8513931888544891
E00025693,314,269,0.856687898089172
E00025694,332,289,0.8704819277108434
E00025695,224,191,0.8526785714285714
E00025696,348,298,0.8563218390804598
E00025697,378,312,0.8253968253968254
E00025698,304,280,0.9210526315789473
E00025699,350,307,0.8771428571428571
E00025700,251,212,0.8446215139442231
E00025701,335,284,0.8477611940298507
E00025702,319,275,0.8620689655172413
E00025703,321,275,0.8566978193146417
E00025704,285,237,0.8315789473684211
E00025705,292,239,0.8184931506849316
E00025706,229,191,0.834061135371179
E00025707,173,132,0.7630057803468208
E00025708,295,227,0.7694915254237288
E00025709,321,262,0.8161993769470405
E00025710,336,270,0.8035714285714286
E00025711,262,218,0.8320610687022901
E00025712,301,247,0.8205980066445183
E00025713,258,206,0.7984496124031008
E00025714,305,242,0.7934426229508197
E00025715,189,158,0.8359788359788359
E00025716,298,246,0.825503355704698
E00025717,303,262,0.8646864686468647
E00025718,340,271,0.7970588235294118
E00025719,403,296,0.7344913151364765
E00025720,334,265,0.7934131736526946
E00025721,349,244,0.6991404011461319
E00025722,258,223,0.8643410852713178
E00025723,259,204,0.7876447876447876
E00025724,347,303,0.8731988472622478
E00025725,567,406,0.7160493827160493
E00025726,370,302,0.8162162162162162
E00025727,193,171,0.8860103626943006
E00025728,394,323,0.8197969543147208
E00025729,306,279,0.9117647058823529
E00025730,329,297,0.9027355623100304
E00025731,328,276,0.8414634146341463
E00025732,380,316,0.8315789473684211
E00025733,463,340,0.734341252699784
E00025734,396,346,0.8737373737373737
E00025735,392,326,0.8316326530612245
E00025736,501,420,0.8383233532934131
E00025737,367,324,0.8828337874659401
E00025738,352,307,0.8721590909090909
E00025739,377,313,0.830238726790451
E00025740,395,325,0.8227848101265823
E00025741,394,354,0.8984771573604061
E00025742,361,326,0.9030470914127424
E00025743,319,297,0.9310344827586207
E00025744,341,290,0.8504398826979472
E00025745,470,364,0.774468085106383
E00025746,233,196,0.8412017167381974
E00025747,325,284,0.8738461538461538
E00025748,425,371,0.8729411764705882
E00025749,321,277,0.8629283489096573
E00025750,364,327,0.8983516483516484
E00025751,304,261,0.8585526315789473
E00025752,254,237,0.9330708661417323
E00025753,335,287,0.8567164179104477
E00025754,330,290,0.8787878787878788
E00025756,234,206,0.8803418803418803
E00025757,245,204,0.8326530612244898
E00025758,341,291,0.8533724340175953
E00025759,322,273,0.8478260869565217
E00025760,352,277,0.7869318181818182
E00025761,358,279,0.7793296089385475
E00025762,245,206,0.8408163265306122
E00025763,354,289,0.8163841807909604
E00025764,341,292,0.8563049853372434
E00025765,331,257,0.7764350453172205
E00025766,310,259,0.8354838709677419
E00025767,291,214,0.7353951890034365
E00025768,380,280,0.7368421052631579
E00025769,292,271,0.928082191780822
E00025771,266,211,0.793233082706767
E00025772,186,157,0.8440860215053764
E00025773,368,302,0.8206521739130435
E00025774,317,251,0.7917981072555205
