OA,Pop_educ,Level4_educ,Mean_level4_edu
E00025604,277,67,0.24187725631768953
E00025605,202,36,0.1782178217821782
E00025607,218,30,0.13761467889908258
E00025608,299,78,0.2608695652173913
E00025611,370,78,0.21081081081081082
E00025612,273,65,0.23809523809523808
E00025613,200,64,0.32
E00025614,179,41,0.22905027932960895
E00025615,291,83,0.2852233676975945
E00025616,150,30,0.2
E00025617,361,113,0.31301939058171746
E00025618,243,71,0.29218106995884774
E00025619,211,37,0.17535545023696683
E00025620,260,27,0.10384615384615385
E00025621,229,38,0.16593886462882096
E00025622,192,47,0.24479166666666666
E00025623,315,124,0.39365079365079364
E00025624,256,23,0.08984375
E00025625,244,38,0.1557377049180328
E00025626,213,38,0.1784037558685446
E00025627,257,33,0.12840466926070038
E00025628,251,74,0.2948207171314741
E00025629,233,72,0.3090128755364807
E00025630,298,91,0.3053691275167785
E00025631,258,118,0.4573643410852713
E00025632,149,39,0.26174496644295303
E00025633,492,109,0.22154471544715448
E00025634,217,40,0.18433179723502305
E00025635,179,37,0.20670391061452514
E00025636,482,103,0.21369294605809128
E00025638,213,27,0.1267605633802817
E00025639,162,21,0.12962962962962962
E00025640,270,52,0.1925925925925926
E00025641,283,54,0.19081272084805653
E00025642,217,21,0.0967741935483871
E00025643,352,98,0.2784090909090909
E00025644,233,27,0.11587982832618025
E00025645,174,34,0.19540229885057472
E00025646,264,28,0.10606060606060606
E00025647,263,29,0.11026615969581749
E00025648,321,64,0.19937694704049844
E00025649,217,25,0.1152073732718894
E00025650,206,41,0.19902912621359223
E00025651,257,36,0.14007782101167315
E00025652,249,29,0.11646586345381527
E00025653,246,21,0.08536585365853659
E00025654,216,26,0.12037037037037036
E00025655,263,24,0.09125475285171103
E00025656,190,66,0.3473684210526316
E00025657,177,25,0.14124293785310735
E00025658,284,64,0.22535211267605634
E00025659,325,44,0.13538461538461538
E00025660,236,71,0.3008474576271186
E00025661,228,30,0.13157894736842105
E00025662,223,38,0.17040358744394618
E00025663,321,79,0.24610591900311526
E00025664,278,53,0.1906474820143885
E00025665,339,109,0.3215339233038348
E00025666,285,40,0.14035087719298245
E00025667,220,61,0.2772727272727273
E00025668,233,29,0.12446351931330472
E00025669,207,23,0.1111111111111111
E00025670,238,50,0.21008403361344538
E00025671,216,22,0.10185185185185185
E00025672,233,33,0.14163090128755365
E00025673,254,37,0.14566929133858267
E00025674,232,26,0.11206896551724138
E00025675,214,24,0.11214953271028037
E00025676,251,35,0.1394422310756972
E00025677,206,29,0.1407766990291262
E00025678,304,88,0.2894736842105263
E00025680,275,213,0.7745454545454545
E00025681,194,32,0.16494845360824742
E00025682,229,37,0.1615720524017467
E00025684,268,70,0.26119402985074625
E00025685,263,213,0.8098859315589354
E00025687,227,91,0.4008810572687225
E00025688,216,63,0.2916666666666667
E00025689,244,51,0.20901639344262296
E00025690,213,72,0.3380281690140845
E00025691,300,229,0.7633333333333333
E00025692,293,155,0.5290102389078498
E00025693,289,199,0.6885813148788927
E00025694,257,56,0.2178988326848249
E00025695,206,155,0.7524271844660194
E00025696,283,122,0.43109540636042404
E00025697,310,199,0.6419354838709678
E00025698,232,64,0.27586206896551724
E00025699,334,247,0.7395209580838323
E00025700,223,158,0.7085201793721974
E00025701,310,217,0.7
E00025702,223,59,0.2645739910313901
E00025703,262,151,0.5763358778625954
E00025704,261,172,0.6590038314176245
E00025705,262,196,0.7480916030534351
E00025706,222,167,0.7522522522522522
E00025707,170,119,0.7
E00025708,257,175,0.6809338521400778
E00025709,288,181,0.6284722222222222
E00025710,231,48,0.2077922077922078
E00025711,203,65,0.32019704433497537
E00025712,240,99,0.4125
E00025713,196,36,0.1836734693877551
E00025714,224,57,0.2544642857142857
E00025715,180,151,0.8388888888888889
E00025716,274,149,0.5437956204379562
E00025717,239,65,0.2719665271966527
E00025718,247,56,0.22672064777327935
E00025719,364,282,0.7747252747252747
E00025720,304,168,0.5526315789473685
E00025721,251,68,0.27091633466135456
E00025722,194,52,0.26804123711340205
E00025723,215,39,0.1813953488372093
E00025724,255,102,0.4
E00025725,416,77,0.18509615384615385
E00025726,254,20,0.07874015748031496
E00025727,172,13,0.0755813953488372
E00025728,264,34,0.12878787878787878
E00025729,236,24,0.1016949152542373
E00025730,233,13,0.055793991416309016
E00025731,235,40,0.1702127659574468
E00025732,258,17,0.06589147286821706
E00025733,356,61,0.17134831460674158
E00025734,272,31,0.11397058823529412
E00025735,301,41,0.1362126245847176
E00025736,355,60,0.16901408450704225
E00025737,265,27,0.1018867924528302
E00025738,259,27,0.10424710424710425
E00025739,281,26,0.09252669039145907
E00025740,262,33,0.12595419847328243
E00025741,282,24,0.0851063829787234
E00025742,239,19,0.0794979079497908
E00025743,224,20,0.08928571428571429
E00025744,235,17,0.07234042553191489
E00025745,341,42,0.12316715542521994
E00025746,188,23,0.12234042553191489
E00025747,244,15,0.06147540983606557
E00025748,292,21,0.07191780821917808
E00025749,236,15,0.0635593220338983
E00025750,286,28,0.0979020979020979
E00025751,207,21,0.10144927536231885
E00025752,188,13,0.06914893617021277
E00025753,241,22,0.0912863070539419
E00025754,236,26,0.11016949152542373
E00025756,181,17,0.09392265193370165
E00025757,182,18,0.0989010989010989
E00025758,272,32,0.11764705882352941
E00025759,246,18,0.07317073170731707
E00025760,256,24,0.09375
E00025761,236,33,0.13983050847457626
E00025762,193,17,0.08808290155440414
E00025763,228,28,0.12280701754385964
E00025764,254,29,0.1141732283464567
E00025765,256,37,0.14453125
E00025766,211,20,0.0947867298578199
E00025767,228,41,0.17982456140350878
E00025768,255,43,0.16862745098039217
E00025769,262,22,0.08396946564885496
E00025771,189,17,0.08994708994708994
E00025772,160,15,0.09375
E00025773,258,24,0.09302325581395349
E00025774,224,34,0.15178571428571427
E00025775,190,23,0.12105263157894737
E00025776,242,23,0.09504132231404959
E00025777,293,33,0.11262798634812286
E00025778,268,36,0.13432835820895522
E00025779,209,11,0.05263157894736842
E00025780,120,8,0.06666666666666667
E00025781,201,31,0.15422885572139303
E00025782,199,16,0.08040201005025126
E00025786,225,24,0.10666666666666667
E00025787,242,21,0.08677685950413223
E00025788,313,31,0.09904153354632587
E00025790,256,17,0.06640625
E00025791,228,34,0.14912280701754385
E00025793,217,30,0.1382488479262673
E00025794,231,16,0.06926406926406926
