OA,Pop_econ,unempl,student,inactive,sum_no_income,mean_no_income
E00025604,258,11,33,139,183,0.7093023255813954
E00025605,196,35,15,71,121,0.6173469387755102
E00025607,205,19,12,91,122,0.5951219512195122
E00025608,292,22,16,130,168,0.5753424657534246
E00025611,366,37,21,163,221,0.6038251366120219
E00025612,267,22,27,104,153,0.5730337078651685
E00025613,195,26,2,86,114,0.5846153846153846
E00025614,178,18,10,66,94,0.5280898876404494
E00025615,273,23,26,144,193,0.706959706959707
E00025616,138,25,4,47,76,0.5507246376811594
E00025617,350,18,29,169,216,0.6171428571428571
E00025618,228,26,10,94,130,0.5701754385964912
E00025619,197,13,12,88,113,0.5736040609137056
E00025620,243,23,16,128,167,0.6872427983539094
E00025621,214,23,18,93,134,0.6261682242990654
E00025622,185,14,5,66,85,0.4594594594594595
E00025623,305,21,39,131,191,0.6262295081967213
E00025624,237,25,6,108,139,0.5864978902953587
E00025625,235,23,12,107,142,0.6042553191489362
E00025626,203,16,6,106,128,0.6305418719211823
E00025627,246,25,12,112,149,0.6056910569105691
E00025628,233,17,18,91,126,0.5407725321888412
E00025629,212,6,11,110,127,0.5990566037735849
E00025630,278,23,30,124,177,0.6366906474820144
E00025631,254,11,23,109,143,0.562992125984252
E00025632,144,11,6,60,77,0.5347222222222222
E00025633,489,24,107,266,397,0.8118609406952966
E00025634,201,13,11,102,126,0.6268656716417911
E00025635,169,12,10,64,86,0.5088757396449705
E00025636,415,22,48,210,280,0.6746987951807228
E00025638,193,9,6,74,89,0.46113989637305697
E00025639,149,8,9,41,58,0.38926174496644295
E00025640,223,12,8,55,75,0.336322869955157
E00025641,273,9,2,69,80,0.29304029304029305
E00025642,189,9,3,58,70,0.37037037037037035
E00025643,335,16,12,104,132,0.3940298507462687
E00025644,225,15,7,84,106,0.4711111111111111
E00025645,172,7,2,25,34,0.19767441860465115
E00025646,236,5,5,57,67,0.2838983050847458
E00025647,253,20,5,69,94,0.3715415019762846
E00025648,299,22,5,91,118,0.39464882943143814
E00025649,185,6,8,78,92,0.4972972972972973
E00025650,187,10,9,47,66,0.35294117647058826
E00025651,239,21,7,84,112,0.4686192468619247
E00025652,223,19,7,62,88,0.39461883408071746
E00025653,196,13,4,80,97,0.49489795918367346
E00025654,206,23,6,71,100,0.4854368932038835
E00025655,246,17,8,81,106,0.43089430894308944
E00025656,189,12,5,30,47,0.24867724867724866
E00025657,161,10,4,55,69,0.42857142857142855
E00025658,267,8,7,61,76,0.2846441947565543
E00025659,302,16,7,78,101,0.3344370860927152
E00025660,194,6,10,45,61,0.31443298969072164
E00025661,213,9,9,59,77,0.3615023474178404
E00025662,208,10,11,51,72,0.34615384615384615
E00025663,314,17,8,80,105,0.3343949044585987
E00025664,273,9,9,56,74,0.27106227106227104
E00025665,297,11,4,52,67,0.2255892255892256
E00025666,239,4,6,86,96,0.401673640167364
E00025667,218,9,6,48,63,0.2889908256880734
E00025668,203,12,14,74,100,0.49261083743842365
E00025669,184,13,5,85,103,0.5597826086956522
E00025670,221,11,12,66,89,0.40271493212669685
E00025671,199,15,5,78,98,0.49246231155778897
E00025672,218,9,8,82,99,0.4541284403669725
E00025673,235,14,15,78,107,0.4553191489361702
E00025674,219,18,3,73,94,0.4292237442922374
E00025675,193,10,7,67,84,0.43523316062176165
E00025676,229,20,10,72,102,0.44541484716157204
E00025677,188,6,6,85,97,0.5159574468085106
E00025678,275,17,6,88,111,0.4036363636363636
E00025680,269,7,15,29,51,0.1895910780669145
E00025681,180,18,8,74,100,0.5555555555555556
E00025682,223,24,12,88,124,0.5560538116591929
