OA,Pop_marr,Married,Civil,Mean_married
E00025604,277,60,0,0.21660649819494585
E00025605,202,54,0,0.26732673267326734
E00025607,218,68,0,0.3119266055045872
E00025608,299,83,0,0.27759197324414714
E00025611,370,101,2,0.27837837837837837
E00025612,273,109,0,0.3992673992673993
E00025613,200,50,0,0.25
E00025614,179,55,2,0.31843575418994413
E00025615,291,78,0,0.26804123711340205
E00025616,150,38,1,0.26
E00025617,361,106,2,0.29916897506925205
E00025618,243,95,0,0.39094650205761317
E00025619,211,73,0,0.3459715639810427
E00025620,260,73,0,0.28076923076923077
E00025621,229,56,0,0.2445414847161572
E00025622,192,75,0,0.390625
E00025623,315,78,0,0.24761904761904763
E00025624,256,71,2,0.28515625
E00025625,244,68,0,0.2786885245901639
E00025626,213,69,0,0.323943661971831
E00025627,257,67,0,0.2607003891050584
E00025628,251,88,0,0.350597609561753
E00025629,233,67,0,0.2875536480686695
E00025630,298,93,2,0.3187919463087248
E00025631,258,106,3,0.42248062015503873
E00025632,149,61,2,0.4228187919463087
E00025633,492,54,0,0.10975609756097561
E00025634,217,59,0,0.271889400921659
E00025635,179,51,2,0.29608938547486036
E00025636,482,107,0,0.22199170124481327
E00025638,213,62,0,0.29107981220657275
E00025639,162,65,0,0.4012345679012346
E00025640,270,151,0,0.5592592592592592
E00025641,283,163,0,0.5759717314487632
E00025642,217,65,0,0.2995391705069124
E00025643,352,131,0,0.3721590909090909
E00025644,233,65,0,0.27896995708154504
E00025645,174,79,0,0.4540229885057471
E00025646,264,127,0,0.4810606060606061
E00025647,263,95,0,0.3612167300380228
E00025648,321,103,0,0.32087227414330216
E00025649,217,75,0,0.3456221198156682
E00025650,206,63,0,0.3058252427184466
E00025651,257,69,0,0.26848249027237353
E00025652,249,71,0,0.285140562248996
E00025653,246,53,0,0.21544715447154472
E00025654,216,48,0,0.2222222222222222
E00025655,263,83,0,0.3155893536121673
E00025656,190,66,0,0.3473684210526316
E00025657,177,75,0,0.423728813559322
E00025658,284,140,0,0.49295774647887325
E00025659,325,92,2,0.28923076923076924
E00025660,236,134,4,0.5847457627118644
E00025661,228,79,0,0.34649122807017546
E00025662,223,92,0,0.4125560538116592
E00025663,321,74,2,0.2367601246105919
E00025664,278,130,0,0.4676258992805755
E00025665,339,65,0,0.19174041297935104
E00025666,285,71,0,0.24912280701754386
E00025667,220,125,0,0.5681818181818182
E00025668,233,66,0,0.2832618025751073
E00025669,207,59,1,0.2898550724637681
E00025670,238,56,4,0.25210084033613445
E00025671,216,76,2,0.3611111111111111
E00025672,233,72,0,0.3090128755364807
E00025673,254,71,0,0.2795275590551181
E00025674,232,46,2,0.20689655172413793
E00025675,214,71,0,0.3317757009345794
E00025676,251,100,2,0.4063745019920319
E00025677,206,55,0,0.2669902912621359
E00025678,304,104,0,0.34210526315789475
E00025680,275,50,0,0.18181818181818182
E00025681,194,45,0,0.23195876288659795
E00025682,229,53,0,0.2314410480349345
E00025684,268,68,0,0.2537313432835821
E00025685,263,52,0,0.19771863117870722
E00025687,227,64,0,0.28193832599118945
E00025688,216,77,2,0.36574074074074076
E00025689,244,66,0,0.27049180327868855
E00025690,213,67,0,0.3145539906103286
E00025691,300,54,0,0.18
E00025692,293,41,0,0.13993174061433447
E00025693,289,45,0,0.15570934256055363
E00025694,257,84,0,0.32684824902723736
E00025695,206,27,0,0.13106796116504854
E00025696,283,116,0,0.4098939929328622
E00025697,310,159,3,0.5225806451612903
E00025698,232,81,0,0.34913793103448276
E00025699,334,49,0,0.1467065868263473
E00025700,223,40,4,0.19730941704035873
E00025701,310,60,4,0.2064516129032258
E00025702,223,58,0,0.2600896860986547
E00025703,262,105,3,0.4122137404580153
E00025704,261,46,1,0.18007662835249041
E00025705,262,57,0,0.21755725190839695
E00025706,222,29,1,0.13513513513513514
E00025707,170,15,0,0.08823529411764706
E00025708,257,43,0,0.16731517509727625
E00025709,288,79,0,0.2743055555555556
E00025710,231,50,0,0.21645021645021645
E00025711,203,60,0,0.2955665024630542
E00025712,240,81,0,0.3375
E00025713,196,47,0,0.23979591836734693
E00025714,224,55,1,0.25
E00025715,180,33,0,0.18333333333333332
E00025716,274,49,1,0.18248175182481752
E00025717,239,76,2,0.3263598326359833
E00025718,247,71,0,0.2874493927125506
E00025719,364,113,1,0.3131868131868132
E00025720,304,85,2,0.28618421052631576
E00025721,251,67,0,0.26693227091633465
E00025722,194,39,0,0.20103092783505155
E00025723,215,33,2,0.16279069767441862
E00025724,255,71,2,0.28627450980392155
E00025725,416,129,4,0.31971153846153844
E00025726,254,73,0,0.2874015748031496
E00025727,172,34,0,0.19767441860465115
E00025728,264,85,0,0.32196969696969696
E00025729,236,77,2,0.3347457627118644
E00025730,233,60,0,0.2575107296137339
E00025731,235,69,0,0.2936170212765957
E00025732,258,71,0,0.2751937984496124
E00025733,356,111,0,0.31179775280898875
E00025734,272,96,0,0.35294117647058826
E00025735,301,102,0,0.3388704318936877
E00025736,355,103,2,0.29577464788732394
E00025737,265,89,0,0.33584905660377357
E00025738,259,93,0,0.3590733590733591
E00025739,281,91,0,0.3238434163701068
E00025740,262,101,0,0.38549618320610685
E00025741,282,90,0,0.3191489361702128
E00025742,239,72,1,0.3054393305439331
E00025743,224,71,0,0.3169642857142857
E00025744,235,68,0,0.28936170212765955
E00025745,341,89,0,0.26099706744868034
E00025746,188,55,0,0.2925531914893617
E00025747,244,75,0,0.3073770491803279
E00025748,292,95,0,0.3253424657534247
E00025749,236,75,0,0.3177966101694915
E00025750,286,61,0,0.21328671328671328
E00025751,207,61,0,0.2946859903381642
E00025752,188,57,1,0.30851063829787234
E00025753,241,81,0,0.3360995850622407
E00025754,236,56,0,0.23728813559322035
E00025756,181,40,0,0.22099447513812154
E00025757,182,41,0,0.22527472527472528
E00025758,272,93,2,0.3492647058823529
E00025759,246,97,0,0.3943089430894309
E00025760,256,82,0,0.3203125
E00025761,236,68,0,0.288135593220339
E00025762,193,55,4,0.30569948186528495
E00025763,228,69,3,0.3157894736842105
E00025764,254,92,0,0.36220472440944884
E00025765,256,84,0,0.328125
E00025766,211,55,0,0.26066350710900477
E00025767,228,58,0,0.2543859649122807
E00025768,255,103,0,0.403921568627451
E00025769,262,82,0,0.31297709923664124
E00025771,189,50,2,0.2751322751322751
E00025772,160,35,0,0.21875
E00025773,258,66,0,0.2558139534883721
E00025774,224,69,0,0.3080357142857143
E00025775,190,53,0,0.2789473684210526
E00025776,242,76,1,0.3181818181818182
E00025777,293,121,2,0.4197952218430034
E00025778,268,71,0,0.26492537313432835
E00025779,209,50,0,0.23923444976076555
E00025780,120,24,0,0.2
E00025781,201,48,0,0.23880597014925373
E00025782,199,64,0,0.32160804020100503
E00025786,225,71,1,0.32
E00025787,242,80,1,0.3347107438016529
E00025788,313,81,0,0.25878594249201275
E00025790,256,57,2,0.23046875
E00025791,228,69,0,0.3026315789473684
E00025793,217,68,0,0.31336405529953915
E00025794,231,73,0,0.31601731601731603
E00025795,248,69,0,0.2782258064516129
E00025796,278,71,0,0.25539568345323743
E00025797,235,58,0,0.24680851063829787
E00025798,247,65,0,0.2631578947368421
E00025799,299,87,0,0.2909698996655518
E00025800,281,61,0,0.21708185053380782
E00025801,258,78,2,0.31007751937984496
E00025802,213,71,0,0.3333333333333333
E00025803,218,105,2,0.4908256880733945
E00025804,176,34,0,0.19318181818181818
E00025805,158,43,0,0.2721518987341772
E00025806,220,88,0,0.4
E00025807,264,108,2,0.4166666666666667
E00025808,224,81,0,0.36160714285714285
E00025809,249,58,2,0.24096385542168675
E00025810,204,70,2,0.35294117647058826
E00025811,227,90,0,0.3964757709251101
E00025812,199,73,0,0.36683417085427134
E00025813,265,86,0,0.32452830188679244
E00025814,264,62,3,0.24621212121212122
E00025815,205,78,0,0.3804878048780488
E00025816,247,94,2,0.38866396761133604
E00025817,259,99,0,0.38223938223938225
E00025818,242,65,2,0.2768595041322314
E00025819,293,86,1,0.29692832764505117
E00025820,256,75,0,0.29296875
E00025821,210,68,0,0.3238095238095238
E00025822,228,80,1,0.35526315789473684
E00025823,250,68,0,0.272
E00025825,262,137,2,0.5305343511450382
E00025826,217,49,0,0.22580645161290322
E00025827,229,87,0,0.3799126637554585
E00025828,221,83,0,0.3755656108597285
E00025829,167,38,0,0.2275449101796407
E00025830,226,68,0,0.3008849557522124
E00025832,358,102,0,0.2849162011173184
E00025833,219,58,4,0.2831050228310502
E00025834,261,93,0,0.3563218390804598
E00025835,307,109,0,0.3550488599348534
E00025836,335,95,4,0.2955223880597015
E00025837,361,125,3,0.3545706371191136
E00025838,245,90,1,0.37142857142857144
E00025840,196,47,1,0.24489795918367346
E00025841,261,99,0,0.3793103448275862
E00025842,254,76,0,0.2992125984251969
E00025843,306,90,0,0.29411764705882354
E00025844,273,67,0,0.2454212454212454
E00025845,252,61,0,0.24206349206349206
E00025846,215,53,1,0.25116279069767444
E00025850,208,61,0,0.2932692307692308
E00025851,253,81,4,0.3359683794466403
E00025852,220,70,0,0.3181818181818182
E00025853,269,116,1,0.4349442379182156
E00025855,193,52,0,0.2694300518134715
E00025856,237,97,0,0.4092827004219409
E00025857,459,201,2,0.4422657952069717
E00025858,232,73,0,0.3146551724137931
E00025859,256,76,0,0.296875
E00025862,242,102,0,0.4214876033057851
E00025863,169,67,0,0.39644970414201186
E00025864,221,66,0,0.2986425339366516
E00025865,263,96,2,0.3726235741444867
E00025866,212,62,0,0.29245283018867924
E00025867,197,50,0,0.25380710659898476
E00025868,215,46,2,0.22325581395348837
E00025869,287,123,2,0.4355400696864111
E00025870,214,56,0,0.2616822429906542
E00025871,201,61,0,0.3034825870646766
E00025872,150,24,0,0.16
E00025873,264,161,0,0.6098484848484849
E00025875,259,98,0,0.3783783783783784
E00025876,218,95,1,0.44036697247706424
E00025877,233,81,0,0.34763948497854075
E00025878,191,53,2,0.2879581151832461
E00025879,254,124,0,0.4881889763779528
E00025880,231,53,2,0.23809523809523808
E00025882,220,73,0,0.33181818181818185
E00025883,149,18,0,0.12080536912751678
E00025884,259,101,0,0.38996138996138996
E00025885,252,129,0,0.5119047619047619
E00025886,242,66,0,0.2727272727272727
E00025887,256,147,0,0.57421875
