OA,Pop,Males,Females,Mean_male,Variance_male,SD_male
E00025604,337,156,181,0.4629080118694362,0.2493641373463347,0.49936373251001587
E00025605,244,153,91,0.6270491803278688,0.23482088646022997,0.4845832090159852
E00025607,306,152,154,0.49673202614379086,0.250808957462768,0.5008083041072382
E00025608,416,218,198,0.5240384615384616,0.2500231696014804,0.5000231690646748
E00025611,494,285,209,0.5769230769230769,0.24457793727570645,0.49454821531950394
E00025612,389,193,196,0.4961439588688946,0.25062942252140197,0.5006290268466281
E00025613,224,141,83,0.6294642857142857,0.2342849135169763,0.4840298684141055
E00025614,282,130,152,0.46099290780141844,0.2493627116932941,0.4993623050384301
E00025615,367,202,165,0.5504087193460491,0.24813507839371068,0.4981315874281721
E00025616,174,108,66,0.6206896551724138,0.2367948973490129,0.48661575945402025
E00025617,484,242,242,0.5,0.2505175983436853,0.5005173307126191
E00025618,334,171,163,0.5119760479041916,0.2506068943194678,0.5006065264451391
E00025619,300,136,164,0.4533333333333333,0.24865105908584212,0.498649234518456
E00025620,379,187,192,0.49340369393139843,0.2506177492984877,0.5006173681550488
E00025621,319,174,145,0.5454545454545454,0.24871355060034225,0.49871189137651634
E00025622,252,142,110,0.5634920634920635,0.24694871308417116,0.49693934547806856
E00025623,378,190,188,0.5026455026455027,0.2506561127250773,0.5006556828051364
E00025624,335,163,172,0.48656716417910445,0.25056752167307,0.5005671999572785
E00025625,370,175,195,0.47297297297297297,0.24994506701823793,0.4999450640002739
E00025626,272,135,137,0.4963235294117647,0.2509089429129593,0.500908118234232
E00025627,329,154,175,0.46808510638297873,0.2497405293201868,0.49974046196019273
E00025628,316,157,159,0.49683544303797467,0.25078360458107374,0.5007829915053762
E00025629,309,157,152,0.5080906148867314,0.2507460177363083,0.500745462022681
E00025630,402,190,212,0.472636815920398,0.24987283036190577,0.4998728141856744
E00025631,348,198,150,0.5689655172413793,0.2459505117758136,0.49593397925108296
E00025632,213,115,98,0.539906103286385,0.2495792364248392,0.4995790592337105
E00025633,529,264,265,0.499054820415879,0.2504725897920591,0.500472366661796
E00025634,293,137,156,0.46757679180887374,0.24980129973350815,0.49980126023601434
E00025635,248,113,135,0.45564516129032256,0.2490368290453181,0.4990358995556513
E00025636,588,283,305,0.4812925170068027,0.250075328257368,0.5000753225838763
E00025638,272,125,147,0.45955882352941174,0.24928098545691374,0.4992804677302265
E00025639,204,82,122,0.4019607843137255,0.24157249106539083,0.491500245234314
E00025640,309,150,159,0.4854368932038835,0.25059891564745856,0.5005985573765256
E00025641,340,163,177,0.47941176470588237,0.2503123373243101,0.5003122398305982
E00025642,290,134,156,0.46206896551724136,0.2494213101061917,0.4994209748360512
E00025643,481,223,258,0.46361746361746364,0.24919438669438498,0.49919373663376926
E00025644,301,153,148,0.5083056478405316,0.2507641196013282,0.5007635366131685
E00025645,224,117,107,0.5223214285714286,0.2506205957719398,0.5006202111101187
E00025646,322,153,169,0.4751552795031056,0.2501596331340357,0.5001596076594308
E00025647,369,174,195,0.4715447154471545,0.24986744432661875,0.4998674267509524
E00025648,433,212,221,0.4896073903002309,0.2504704473526622,0.5004702262399455
E00025649,251,109,142,0.4342629482071713,0.24666135458167243,0.496650132972571
E00025650,278,127,151,0.4568345323741007,0.2490325429187335,0.49903160513010947
E00025651,324,157,167,0.4845679012345679,0.2505351068302559,0.5005348207969711
E00025652,329,140,189,0.425531914893617,0.24519979242345713,0.49517652652711347
E00025653,303,132,171,0.43564356435643564,0.246672349354142,0.4966612017805921
E00025654,279,145,134,0.5197132616487455,0.25050927000335194,0.5005090109112442
E00025655,343,171,172,0.49854227405247814,0.2507288629737626,0.5007283325055241
E00025656,228,112,116,0.49122807017543857,0.2510240358605776,0.5010229893533605
E00025657,199,84,115,0.4221105527638191,0.24516522003959232,0.49514161614591873
E00025658,338,166,172,0.4911242603550296,0.2506628272435169,0.5006623884850119
E00025659,390,194,196,0.49743589743589745,0.2506360819985495,0.5006356779121415
E00025660,281,152,129,0.5409252669039146,0.24921199796644658,0.49921137603869425
